id,name,brand,old_url,new_url,status,reason
akadema-aea65-12-fastpitch,"Akadema Torino 34"" Fastpitch Softball Catcher's Mitt: AEA65-12",Akadema,https://www.justballgloves.com/product/akadema-torino-34--fastpitch-softball-catchers-mitt--aea65-12/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/akadema-fastpitch-series--aea65-12-catchers-mitt/14810/?rfsn=9019128.19c2ec,fixed,matched site:search
all star-cmw-fs-a-fastpitch,"All Star Future Star 34"" Fastpitch Softball Catcher's Mitt: CMW-FS-A",All Star,https://www.justballgloves.com/product/all-star-future-star-34--fastpitch-softball-catchers-mitt--cmw-fs-a/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/all-star-future-star-34--fastpitch-softball-catchers-mitt--cmw-fs-a/37077/?rfsn=9019128.19c2ec,fixed,matched site:search (same slug)
shoeless-3200fpcm-fastpitch,"Shoeless Jane 32"" Fastpitch Softball Catcher's Mitt: 3200FPCM",Shoeless,https://www.justballgloves.com/product/shoeless-jane-32--fastpitch-softball-catchers-mitt--3200fpcm/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/shoeless-joe-shoeless-jane-fastpitch-softball-catchers-mitt--3200fpcm/14603/?rfsn=9019128.19c2ec,fixed,matched
rawlings-procm33fp-24g-fastpitch,"Rawlings Heart of the Hide 33"" Fastpitch Catcher's Mitt: PROCM33FP-24G",Rawlings,https://www.justballgloves.com/product/rawlings-heart-of-the-hide-33--fastpitch-catchers-mitt--procm33fp-24g/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/rawlings-heart-of-the-hide-dual-core-33--fastpitch-catchers-mitt--procm33fp-24g/34598/?rfsn=9019128.19c2ec,fixed,matched
wilson-wbw10260033-fastpitch,"Wilson A1000 CM33 33"" Fastpitch Softball Catcher's Mitt: WBW10260033",Wilson,https://www.justballgloves.com/product/wilson-a1000-cm33-33--fastpitch-softball-catchers-mitt--wbw10260033/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/wilson-a1000-cm33-33--fastpitch-softball-catchers-mitt--wbw10260033/38225/?rfsn=9019128.19c2ec,fixed,matched
mizuno-gxs90f5-fastpitch,"Mizuno Franchise 34"" Fastpitch Softball Catcher's Mitt: GXS90F5",Mizuno,https://www.justballgloves.com/product/mizuno-franchise-34--fastpitch-softball-catchers-mitt--gxs90f5/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/mizuno-franchise-34--fastpitch-softball-catchers-mitt--gxs90f5/38498/?rfsn=9019128.19c2ec,fixed,matched
easton-mywhy-thenono-fastpitch,"Easton Elite Series Jen Schroeder MY WHY 33"" Fastpitch Catcher's Mitt: MYWHY-THENONO",Easton,https://www.justballgloves.com/product/easton-elite-series-jen-schroeder-my-why-33--fastpitch-catchers-mitt--mywhy-thenono/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-elite-series-33--fastpitch-catchers-mitt--mywhy-thenono/37869/?rfsn=9019128.19c2ec,fixed,matched
all star-cmw-h-y-fastpitch,"All Star Heiress 32.5"" Youth Fastpitch Softball Catcher's Mitt: CMW-H-Y",All Star,https://www.justballgloves.com/product/all-star-heiress-32-5--youth-fastpitch-softball-catchers-mitt--cmw-h-y/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/all-star-heiress-32-5--youth-fastpitch-softball-catchers-mitt--cmw-h-y/37080/?rfsn=9019128.19c2ec,fixed,matched
all star-cmw-h-a-fastpitch,"All Star Heiress 34"" Fastpitch Softball Catcher's Mitt: CMW-H-A",All Star,https://www.justballgloves.com/product/all-star-heiress-34--fastpitch-softball-catchers-mitt--cmw-h-a/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/all-star-heiress-34--fastpitch-softball-catchers-mitt--cmw-h-a/37079/?rfsn=9019128.19c2ec,fixed,matched
all star-cmw-phx-34-fastpitch,"All Star PHX Paige Halstead 34"" Fastpitch Softball Catcher's Mitt: CMW-PHX-34",All Star,https://www.justballgloves.com/product/all-star-phx-paige-halstead-34--fastpitch-softball-catchers-mitt--cmw-phx-34/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/all-star-phx-34--fastpitch-softball-catchers-mitt--cmw-phx-34/37081/?rfsn=9019128.19c2ec,fixed,matched
easton-pcfpcm34wcb-fastpitch,"Easton Professional Collection 34"" Fastpitch Catcher's Mitt: PCFPCM34WCB",Easton,https://www.justballgloves.com/product/easton-professional-collection-34--fastpitch-catchers-mitt--pcfpcm34wcb/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-professional-collection-34--fastpitch-catchers-mitt--pcfpcm34wcb/39094/?rfsn=9019128.19c2ec,fixed,matched
easton-pcfpcm34gm-fastpitch,"Easton Professional Collection ColorSplash 2.0 34"" Fastpitch Softball Catcher's Mitt: PCFPCM34GM",Easton,https://www.justballgloves.com/product/easton-professional-collection-colorsplash-2-0-34--fastpitch-softball-catchers-mitt--pcfpcm34gm/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-professional-collection-colorsplash-2-0-34--fastpitch-softball-catchers-mitt--pcfpcm34gm/38551/?rfsn=9019128.19c2ec,fixed,matched
easton-rudi2020-fastpitch,"Easton Professional Collection Jen Schroeder 34"" Fastpitch Catcher's Mitt: RUDI2020",Easton,https://www.justballgloves.com/product/easton-professional-collection-jen-schroeder-34--fastpitch-catchers-mitt--rudi2020/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-professional-collection-jen-schroeder-34--fastpitch-catchers-mitt--rudi2020/34200/?rfsn=9019128.19c2ec,fixed,matched
easton-rudi-fastpitch,"Easton Professional Collection Jen Schroeder The Rudi 34"" Fastpitch Softball Catcher's Mitt: RUDI",Easton,https://www.justballgloves.com/product/easton-professional-collection-jen-schroeder-the-rudi-34--fastpitch-softball-catchers-mitt--rudi/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-professional-collection-34--fastpitch-softball-catchers-mitt--rudi/37916/?rfsn=9019128.19c2ec,fixed,matched (RUDI current)
easton-mywhy-2025-fastpitch,"Easton Elite 11.5"" Morgan Stuart Fastpitch Softball Glove: MYWHY-2025",Easton,https://www.justballgloves.com/product/easton-elite-11-5-morgan-stuart--fastpitch-softball-glove--mywhy-2025/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-elite-11-5--fastpitch-softball-glove--mywhy-2025/39081/?rfsn=9019128.19c2ec,fixed,matched
easton-pcfp115-fastpitch,"Easton Professional Collection 11.5"" Fastpitch Softball Glove: PCFP115",Easton,https://www.justballgloves.com/product/easton-professional-collection-11-5--fastpitch-softball-glove--pcfp115/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-professional-collection-11-5--fastpitch-softball-glove--pcfp115/34168/?rfsn=9019128.19c2ec,fixed,matched
easton-pcfp120-15c-fastpitch,"Easton Professional Collection ColorSplash 2.0 12"" Fastpitch Softball Glove: PCFP120-15C",Easton,https://www.justballgloves.com/product/easton-professional-collection-colorsplash-2-0-12--fastpitch-softball-glove--pcfp120-15c/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-professional-collection-colorsplash-2-0-12--fastpitch-softball-glove--pcfp120-15c/38541/?rfsn=9019128.19c2ec,fixed,matched
