id,sport,brand,name,sku,current_url
marucci-mfg2cdfp115-fastpitch,fastpitch,Marucci,"Marucci Caddo V2 11.5"" Fastpitch Softball Glove: MFG2CDFP115",mfg2cdfp115,https://www.justballgloves.com/product/marucci-caddo-v2-11-5--fastpitch-softball-glove--mfg2cdfp115/?rfsn=9019128.19c2ec
marucci-mfgcyfp44a2-fastpitch,fastpitch,Marucci,"Marucci Cypress 11.75"" Fastpitch Softball Glove: MFGCYFP44A2",mfgcyfp44a2,https://www.justballgloves.com/product/marucci-cypress-11-75--fastpitch-softball-glove--mfgcyfp44a2/?rfsn=9019128.19c2ec
marucci-mfgox44a5fp-tf-fastpitch,fastpitch,Marucci,"Marucci Oxbow 11.75"" Fastpitch Softball Glove: MFGOX44A5FP-TF",mfgox44a5fp-tf,https://www.justballgloves.com/product/marucci-oxbow-11-75--fastpitch-softball-glove--mfgox44a5fp-tf/?rfsn=9019128.19c2ec
marucci-mfgasfp45a5-fastpitch,fastpitch,Marucci,"Marucci Ascension 12"" Fastpitch Softball Glove: MFGASFP45A5",mfgasfp45a5,https://www.justballgloves.com/product/marucci-ascension-12--fastpitch-softball-glove--mfgasfp45a5/?rfsn=9019128.19c2ec
marucci-mfgcyfp45a5-fastpitch,fastpitch,Marucci,"Marucci Cypress 12"" Fastpitch Softball Glove: MFGCYFP45A5",mfgcyfp45a5,https://www.justballgloves.com/product/marucci-cypress-12--fastpitch-softball-glove--mfgcyfp45a5/?rfsn=9019128.19c2ec
marucci-mfgcyfp45k6-fastpitch,fastpitch,Marucci,"Marucci Cypress 12"" Fastpitch Softball Glove: MFGCYFP45K6",mfgcyfp45k6,https://www.justballgloves.com/product/marucci-cypress-12--fastpitch-softball-glove--mfgcyfp45k6/?rfsn=9019128.19c2ec
marucci-mfgcyfp46a6-fastpitch,fastpitch,Marucci,"Marucci Cypress 12.25"" Fastpitch Softball Glove: MFGCYFP46A6",mfgcyfp46a6,https://www.justballgloves.com/product/marucci-cypress-12-25--fastpitch-softball-glove--mfgcyfp46a6/?rfsn=9019128.19c2ec
marucci-mfgcyfp46k5-fastpitch,fastpitch,Marucci,"Marucci Cypress 12.25"" Fastpitch Softball Glove: MFGCYFP46K5",mfgcyfp46k5,https://www.justballgloves.com/product/marucci-cypress-12-25--fastpitch-softball-glove--mfgcyfp46k5/?rfsn=9019128.19c2ec
marucci-mfgox45k3fp-tf-fastpitch,fastpitch,Marucci,"Marucci Oxbow 12"" Fastpitch Softball Glove: MFGOX45K3FP-TF",mfgox45k3fp-tf,https://www.justballgloves.com/product/marucci-oxbow-12--fastpitch-softball-glove--mfgox45k3fp-tf/?rfsn=9019128.19c2ec
marucci-mfg3ac99r4fp-cm-fastpitch,fastpitch,Marucci,"Marucci Acadia 13"" Fastpitch Softball Glove: MFG3AC99R4FP-CM",mfg3ac99r4fp-cm,https://www.justballgloves.com/product/marucci-acadia-13--fastpitch-softball-glove--mfg3ac99r4fp-cm/?rfsn=9019128.19c2ec
marucci-mfgcyfp98r2-fastpitch,fastpitch,Marucci,"Marucci Cypress 12.75"" Fastpitch Softball Glove: MFGCYFP98R2",mfgcyfp98r2,https://www.justballgloves.com/product/marucci-cypress-12-75--fastpitch-softball-glove--mfgcyfp98r2/?rfsn=9019128.19c2ec
marucci-mfg3mg78r3fp-w/tf-fastpitch,fastpitch,Marucci,"Marucci Magnolia 12.75"" Fastpitch Softball Glove: MFG3MG78R3FP-W/TF",mfg3mg78r3fp-w-tf,https://www.justballgloves.com/product/marucci-magnolia-12-75--fastpitch-softball-glove--mfg3mg78r3fp-w-tf/?rfsn=9019128.19c2ec
marucci-mfgasfp97a6-fastpitch,fastpitch,Marucci,"Marucci Ascension 12.5"" Fastpitch Softball Glove: MFGASFP97A6",mfgasfp97a6,https://www.justballgloves.com/product/marucci-ascension-12-5--fastpitch-softball-glove--mfgasfp97a6/?rfsn=9019128.19c2ec
marucci-mfgcdfp125-fastpitch,fastpitch,Marucci,"Marucci Caddo 12.5"" Fastpitch Softball Glove: MFGCDFP125",mfgcdfp125,https://www.justballgloves.com/product/marucci-caddo-12-5--fastpitch-softball-glove--mfgcdfp125/?rfsn=9019128.19c2ec
marucci-mfgcyfp97r3-fastpitch,fastpitch,Marucci,"Marucci Cypress 12.5"" Fastpitch Softball Glove: MFGCYFP97R3",mfgcyfp97r3,https://www.justballgloves.com/product/marucci-cypress-12-5--fastpitch-softball-glove--mfgcyfp97r3/?rfsn=9019128.19c2ec
mizuno-gxs50pf3-fastpitch,fastpitch,Mizuno,"Mizuno MVP Prime 34"" Fastpitch Catcher's Mitt: GXS50PF3",gxs50pf3,https://www.justballgloves.com/product/mizuno-mvp-prime-34--fastpitch-catchers-mitt--gxs50pf3/?rfsn=9019128.19c2ec
mizuno-gxs50pf4w-fastpitch,fastpitch,Mizuno,"Mizuno MVP Prime 34"" Fastpitch Softball Catcher's Mitt: GXS50PF4W",gxs50pf4w,https://www.justballgloves.com/product/mizuno-mvp-prime-34--fastpitch-softball-catchers-mitt--gxs50pf4w/?rfsn=9019128.19c2ec
mizuno-gpsf-20-fastpitch,fastpitch,Mizuno,"Mizuno Pro Select 34.5"" Fastpitch Softball Catcher's Mitt: GPSF-20",gpsf-20,https://www.justballgloves.com/product/mizuno-pro-select-34-5--fastpitch-softball-catchers-mitt--gpsf-20/?rfsn=9019128.19c2ec
mizuno-gpsf-30-fastpitch,fastpitch,Mizuno,"Mizuno Pro Select 12.50"" Fastpitch Softball First Base Mitt: GPSF-30",gpsf-30,https://www.justballgloves.com/product/mizuno-pro-select-12-50--fastpitch-softball-first-base-mitt--gpsf-30/?rfsn=9019128.19c2ec
mizuno-gmvp1150pf4w-fastpitch,fastpitch,Mizuno,"Mizuno MVP Prime 11.5"" Fastpitch Softball Glove: GMVP1150PF4W",gmvp1150pf4w,https://www.justballgloves.com/product/mizuno-mvp-prime-11-5--fastpitch-softball-glove--gmvp1150pf4w/?rfsn=9019128.19c2ec
mizuno-gmvpf-50mp-fastpitch,fastpitch,Mizuno,"Mizuno MVP Prime 11.75"" Fastpitch Softball Glove: GMVPF-50MP",gmvpf-50mp,https://www.justballgloves.com/product/mizuno-mvp-prime-11-75--fastpitch-softball-glove--gmvpf-50mp/?rfsn=9019128.19c2ec
